,StartDate,EndDate,Status,Progress,duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,IC,OPC,Parent,rsv_intent_hyp_pre,rsv_intent_hyp_rej,rsv_intent_hyp_post,no_child,X1_age_ch_i,X1_sex_ch_i,X1_relationship_ch_i,X1_relationship_ch_i_6_TEXT,X1_permission_ch_i,X1_rsv_ch_i,X2_age_ch_i,X2_sex_ch_i,X2_relationship_ch_i,X2_relationship_ch_i_6_TEXT,X2_permission_ch_i,X2_rsv_ch_i,X3_age_ch_i,X3_sex_ch_i,X3_relationship_ch_i,X3_relationship_ch_i_6_TEXT,X3_permission_ch_i,X3_rsv_ch_i,besd1,besd2,besd3,besd4,besd5,besd6,besd7,besd8,besd9,besd10,besd11,besd12,besd13,besd14,besd15,besd16,besd16_13_TEXT,besd17,besd18,besd18_9_TEXT,AGE,SEX,REG,EDU,SCH,EMP,REL,ETH,LAN,HHLAN,MIG,BUK,YUK,ENP,DIS1,DIS2,HEA,state,Age,RecipientFirstName,no_child.1,RCT
1,27/08/2024 14:04,27/08/2024 14:08,IP Address,100,241,True,27/08/2024 14:08,R_2ei4fyBMmVs6TQJ,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,AL1,Yes,"Yes, definitely",Fear of side effects or adverse reactions,"Yes, definitely",1,15,Male,Father,,No,,,,,,,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,No,No,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,51.0,Male,South East England,"2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,No people in my household have English or Welsh as their main language,No,Yes,,Very well,No,,Good,68cd091bb8fff899221a4e035018842583cb1885Q00002E60000028a,45-54,,1,RCT6
2,27/08/2024 14:04,27/08/2024 14:09,IP Address,100,282,True,27/08/2024 14:09,R_2gIKOrmtnJjMbdh,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,WS7,Yes,"Unsure, but leaning towards yes",Fear of side effects or adverse reactions,"Unsure, but leaning towards yes",1,4,Male,Mother,,No,,,,,,,,,,,,,,Very important,Moderately safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Very easy,A little easy,"Nothing, it's not hard",,Moderately satisfied,Vaccines are not always available,,33.0,Female,West Midlands,"5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,48de8cf49e0a3e9c9a89fbe61901d3c8fcb1d880Q00002FB00000288,25-34,,1,RCT6
3,27/08/2024 14:03,27/08/2024 14:10,IP Address,100,428,True,27/08/2024 14:10,R_2smXXVSX2tQSygV,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,Cf83,Yes,"Yes, definitely",Given too soon after birth,"Yes, definitely",2,14,Male,Mother,,No,,17.0,Female,Mother,,No,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,Yes,Yes,Yes,No,Very easy,Not at all easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,43.0,Female,Wales,No qualifications,No,Unemployed and long-term sick or disabled,No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,Yes,"Yes, a lot",Bad,db15ae6078f2c059e74d9fbf3b0047fe216f4feaQ00002BQ000002b8,35-44,,2,RCT6
4,27/08/2024 14:06,27/08/2024 14:11,IP Address,100,286,True,27/08/2024 14:11,R_8mn6tU1jIh6RwQN,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,SK9,Yes,"Yes, definitely",Insufficient information or understanding about treatment,"Yes, definitely",2,10,Female,Father,,No,,16.0,Female,Father,,No,,,,,,,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,49.0,Male,North West England,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,7818c00f51d64da7546a4027b7f136fb9cd6c16fQ00002IQ0000029e,45-54,,2,RCT6
5,27/08/2024 14:03,27/08/2024 14:11,IP Address,100,525,True,27/08/2024 14:11,R_2CIWdvGl9L544s5,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,BD22,Yes,"Unsure, but leaning towards yes","Concerns about safety,Concerns about importance of treatment,Concerns over the effectiveness of treatment,Fear of side effects or adverse reactions,Lack of trust in pharmaceutical companies,Infants are at low risk of RSV,Insufficient information or understanding about treatment","Unsure, but leaning towards yes",1,1,Female,Father,,Yes,"Unsure, but leaning towards yes",,,,,,,,,,,,,Very important,Moderately safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderately easy,Very easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,31.0,Male,Yorkshire and the Humber,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,Yes,"Yes, a little",Good,a89e307aa73e457e40a6f92efcb41d11311b6470Q00002AN0000026d,25-34,,1,RCT6
6,27/08/2024 14:06,27/08/2024 14:12,IP Address,100,345,True,27/08/2024 14:12,R_8PT6ORTalBbFEnT,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,BT8,Yes,"Yes, definitely",Financial or cost-related reasons,"Yes, definitely",3 or more,3,Female,Mother,,Yes,,6.0,Male,Mother,,Yes,,7.0,Male,Mother,,Yes,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Moderately easy,Very easy,Other (please specify),nothing,Very satisfied,Other (please specify),nothing,39.0,Female,Northern Ireland,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,White: Irish,English,"Yes, at least one person in my household has English or Welsh as their main language",No,No,Arrived 1981 to 1990,Very well,No,,Good,79efecec34083f2dd3f220fa5780347a0b29fbf4Q00002NB00000273,35-44,,3 or more,RCT6
7,27/08/2024 14:07,27/08/2024 14:13,IP Address,100,362,True,27/08/2024 14:13,R_2jcFLdRZhYn8jZp,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,FY8,Yes,"Unsure, but leaning towards yes","Concerns about safety,Concerns over the effectiveness of treatment,Fear of side effects or adverse reactions,Insufficient information or understanding about treatment","Unsure, but leaning towards yes",2,12,Female,Mother,,No,,15.0,Female,Mother,,No,,,,,,,,Very important,Moderately safe,Very much,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,Yes,Yes,Yes,No,Moderately easy,A little easy,The clinic opening times are inconvenient,,Very satisfied,Nothing. I am satisfied.,,49.0,Female,North West England,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Good,7076a66ac8afe01fd1196ae7d83bd1201a1b3c98Q00002U500000299,45-54,,2,RCT6
8,27/08/2024 14:09,27/08/2024 14:14,IP Address,100,307,True,27/08/2024 14:14,R_8e5v3tq74H6Bzlk,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,NR31,Yes,"Yes, definitely",Other (please state),"Yes, definitely",3 or more,11,Male,Mother,,No,,15.0,Female,Mother,,No,,17.0,Female,Mother,,No,,Very important,Very safe,Very much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very easy,Moderately easy,"Nothing, it's not hard",,Very satisfied,Nothing. I am satisfied.,,49.0,Female,East of England,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),Christian,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Very good,dd5851592c48982aeb241755879aaa8cbd2d592eQ0000311000002c4,45-54,,3 or more,RCT5
9,27/08/2024 14:06,27/08/2024 14:14,IP Address,100,455,True,27/08/2024 14:14,R_2wgaiiIkG8kvmZf,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,Po20,Yes,"Unsure, but leaning towards no","Concerns about safety,Fear of side effects or adverse reactions,Lack of trust in the healthcare system,Lack of trust in pharmaceutical companies,Insufficient information or understanding about treatment","Unsure, but leaning towards no",1,10,Female,Mother,,No,,,,,,,,,,,,,,A little important,A little safe,A little,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Very easy,Very easy,"Nothing, it's not hard",,Moderately satisfied,Staff are poorly trained,,43.0,Female,South East England,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,In full-time or part-time employment (including self-employed),No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,Yes,,Very well,No,,Very good,0f7f04616a24a51bf26b5a37d22364047171a45eQ00002M60000028a,35-44,,1,RCT3
10,27/08/2024 14:08,27/08/2024 14:15,IP Address,100,379,True,27/08/2024 14:15,R_2iSehyAY24W0BP3,anonymous,EN,I agree to participate in the study and am happy for my anonymous data to be shared. I also confirm that I am least 18 years old that you reside in the UK.,PA37,Yes,"Unsure, but leaning towards yes","Lack of trust in the healthcare system,Lack of trust in pharmaceutical companies","Unsure, but leaning towards no",1,16,Male,Father,,No,,,,,,,,,,,,,,Moderately important,Moderately safe,Moderately,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,Yes,Yes,No,Moderately easy,Very easy,"Nothing, it's not hard",,Moderately satisfied,Nothing. I am satisfied.,,52.0,Male,Scotland,"Degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No,Unemployed and looking after the home or family,No religion,"White: English, Welsh, Scottish, Northern Irish or British",English,"Yes, at least one person in my household has English or Welsh as their main language",No,No,Arrived 2001 to 2010,Very well,No,,Good,ca2be9aa425d88377b1a42725f2464ebb4ae7dadQ00002YT00000256,45-54,,1,RCT4
